rank,orpha_code,disease_name,weighted_score,prevalence_score,socioeconomic_score,drugs_score,clinical_trials_score,gene_score,groups_score,justification
1,79318,PMM2-CDG,9.2,6.0,10.0,10.0,10.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): PMM2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 2 ongoing trial(s): NCT05549219 (24-Week Study to Assess the PD, Safety, Tolerability, and PK of GLM101 in Participants With PMM2-CDG); NCT03173300 (Natural History Study Protocol in PMM2-CDG (CDG-Ia)); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
2,664,Ornithine transcarbamylase deficiency,9.2,6.0,10.0,10.0,10.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): OTC, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 3 ongoing trial(s): NCT06255782 (An Open-label Study to Investigate ECUR-506 in Male Babies Less Than 9 Months of Age With Neonatal Onset OTC Deficiency); NCT03636438 (Long Term Follow Up to Evaluate DTX301 in Adults With Late-Onset OTC Deficiency) (and 1 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
3,905,Wilson disease,9.2,6.0,10.0,10.0,10.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): ATP7B, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 34 ongoing trial(s): NCT05860816 (Facilitators and Barriers in Neuroscience-based Pain Education Programmes in Primary Care Physiotherapy); NCT05507216 (ABTECT-2 - ABX464 Treatment Evaluation for Ulcerative Colitis Therapy -2) (and 32 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
4,321,Multiple osteochondromas,9.0,10.0,10.0,10.0,0.0,10.0,10.0,"High prevalence (>1 / 1000) indicating significant public health impact; Monogenic disease caused by gene(s): EXT1, EXT2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
5,103909,Trehalase deficiency,9.0,10.0,10.0,10.0,0.0,10.0,10.0,"High prevalence (>1 / 1000) indicating significant public health impact; Monogenic disease caused by gene(s): TREH, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
6,602,GNE myopathy,8.8,9.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): GNE, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
7,79432,Oculocutaneous albinism type 2,8.8,9.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): OCA2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
8,158,Systemic primary carnitine deficiency,8.8,9.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): SLC22A5, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
9,506,Leigh syndrome,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): IARS2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05218655 (A Safety Study for Previously Treated Vatiquinone (PTC743) Participants With Inherited Mitochondrial Disease); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
10,746,Mitochondrial trifunctional protein deficiency,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): HADHA, HADHB, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05933200 (A Study to Determine the Effect of Triheptanoin Compared With Even-Chain MCT on MCEs in Pediatric Patients With LC-FAOD); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
11,42,Medium chain acyl-CoA dehydrogenase deficiency,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): ACADM, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05933200 (A Study to Determine the Effect of Triheptanoin Compared With Even-Chain MCT on MCEs in Pediatric Patients With LC-FAOD); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
12,26793,Very long chain acyl-CoA dehydrogenase deficiency,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): ACADVL, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05933200 (A Study to Determine the Effect of Triheptanoin Compared With Even-Chain MCT on MCEs in Pediatric Patients With LC-FAOD); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
13,766,Hemolytic anemia due to red cell pyruvate kinase deficiency,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): PKLR, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT06213402 (RADeep Multicenter European Epidemiological Platform for Patients Diagnosed With Rare Anemia Disorders (RADs)); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
14,909,Cerebrotendinous xanthomatosis,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): CYP27A1, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT06934681 (Exercise to Fight Obesity); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
15,324,Fabry disease,8.6,3.0,10.0,10.0,10.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene(s): GLA, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 6 ongoing trial(s): NCT05280548 (A Study to Evaluate the Effect of Venglustat Tablets on Left Ventricular Mass Index in Male and Female Adult Participants With Fabry Disease); NCT04020055 (A Study to Evaluate Migalastat in Fabry Subjects With Amenable GLA Variant and Renal Disease) (and 4 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
16,578,Mucolipidosis type IV,8.6,3.0,10.0,10.0,10.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene(s): MCOLN1, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 2 ongoing trial(s): NCT05150704 (MYTHS - MYocarditis THerapy With Steroids); NCT05947851 (A Study of Nemtabrutinib Plus Venetoclax vs Venetoclax + Rituximab (VR) in Second-line (2L) + Relapsed/Refractory (R/R) Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL) (MK-1026-010/BELLWAVE-010).); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
17,2209,Maternal phenylketonuria,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): PAH, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
18,79433,Oculocutaneous albinism type 3,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): TYRP1, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
