rank,orpha_code,disease_name,weighted_score,prevalence_score,socioeconomic_score,drugs_score,clinical_trials_score,gene_score,groups_score,justification
1,103909,Trehalase deficiency,9.0,10,10.0,10.0,0.0,10.0,10.0,"High prevalence (>1 / 1000) indicating significant public health impact; Monogenic disease caused by gene TREH, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
2,602,GNE myopathy,8.8,9,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene GNE, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
3,79432,Oculocutaneous albinism type 2,8.8,9,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene OCA2, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
4,158,Systemic primary carnitine deficiency,8.8,9,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene SLC22A5, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
5,2209,Maternal phenylketonuria,8.6,8,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene PAH, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
6,79433,Oculocutaneous albinism type 3,8.6,8,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene TYRP1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
7,35122,Congenital sucrase-isomaltase deficiency,8.6,8,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene SI, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
8,816,Sjögren-Larsson syndrome,8.6,8,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene ALDH3A2, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
9,905,Wilson disease,8.54,6,10.0,10.0,3.4,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ATP7B, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 34 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
10,333,Farber disease,8.4,2,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene ASAH1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 100 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
11,664,Ornithine transcarbamylase deficiency,8.23,6,10.0,10.0,0.3,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene OTC, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 3 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
12,139,CHILD syndrome,8.22,2,10.0,10.0,8.2,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene NSDHL, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 82 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
13,79318,PMM2-CDG,8.22,6,10.0,10.0,0.2,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene PMM2, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 2 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
14,506,Leigh syndrome,8.21,6,10.0,10.0,0.1,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene IARS2, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
15,42,Medium chain acyl-CoA dehydrogenase deficiency,8.21,6,10.0,10.0,0.1,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACADM, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
16,26793,Very long chain acyl-CoA dehydrogenase deficiency,8.21,6,10.0,10.0,0.1,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACADVL, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
17,766,Hemolytic anemia due to red cell pyruvate kinase deficiency,8.21,6,10.0,10.0,0.1,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene PKLR, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
18,909,Cerebrotendinous xanthomatosis,8.21,6,10.0,10.0,0.1,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene CYP27A1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
19,272,"Congenital muscular dystrophy, Fukuyama type",8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene FKTN, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
20,926,Acatalasemia,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene CAT, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
