rank,orpha_code,disease_name,weighted_score,prevalence_score,socioeconomic_score,drugs_score,clinical_trials_score,gene_score,groups_score,justification
1,79318,PMM2-CDG,9.2,6.0,10.0,10.0,10.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene PMM2, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 2 ongoing trial(s): NCT05549219 (24-Week Study to Assess the PD, Safety, Tolerability, and PK of GLM101 in Participants With PMM2-CDG); NCT03173300 (Natural History Study Protocol in PMM2-CDG (CDG-Ia)); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
2,664,Ornithine transcarbamylase deficiency,9.2,6.0,10.0,10.0,10.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene OTC, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 3 ongoing trial(s): NCT06255782 (An Open-label Study to Investigate ECUR-506 in Male Babies Less Than 9 Months of Age With Neonatal Onset OTC Deficiency); NCT03636438 (Long Term Follow Up to Evaluate DTX301 in Adults With Late-Onset OTC Deficiency) (and 1 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
3,905,Wilson disease,9.2,6.0,10.0,10.0,10.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ATP7B, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 34 ongoing trial(s): NCT05860816 (Facilitators and Barriers in Neuroscience-based Pain Education Programmes in Primary Care Physiotherapy); NCT05507216 (ABTECT-2 - ABX464 Treatment Evaluation for Ulcerative Colitis Therapy -2) (and 32 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
4,103909,Trehalase deficiency,9.0,10.0,10.0,10.0,0.0,10.0,10.0,"High prevalence (>1 / 1000) indicating significant public health impact; Monogenic disease caused by gene TREH, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
5,602,GNE myopathy,8.8,9.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene GNE, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
6,79432,Oculocutaneous albinism type 2,8.8,9.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene OCA2, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
7,158,Systemic primary carnitine deficiency,8.8,9.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (6-9 / 10 000) affecting substantial population; Monogenic disease caused by gene SLC22A5, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
8,506,Leigh syndrome,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene IARS2, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05218655 (A Safety Study for Previously Treated Vatiquinone (PTC743) Participants With Inherited Mitochondrial Disease); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
9,42,Medium chain acyl-CoA dehydrogenase deficiency,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACADM, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05933200 (A Study to Determine the Effect of Triheptanoin Compared With Even-Chain MCT on MCEs in Pediatric Patients With LC-FAOD); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
10,26793,Very long chain acyl-CoA dehydrogenase deficiency,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACADVL, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05933200 (A Study to Determine the Effect of Triheptanoin Compared With Even-Chain MCT on MCEs in Pediatric Patients With LC-FAOD); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
11,766,Hemolytic anemia due to red cell pyruvate kinase deficiency,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene PKLR, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT06213402 (RADeep Multicenter European Epidemiological Platform for Patients Diagnosed With Rare Anemia Disorders (RADs)); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
12,909,Cerebrotendinous xanthomatosis,8.7,6.0,10.0,10.0,5.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene CYP27A1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT06934681 (Exercise to Fight Obesity); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
13,324,Fabry disease,8.6,3.0,10.0,10.0,10.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene GLA, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 6 ongoing trial(s): NCT05280548 (A Study to Evaluate the Effect of Venglustat Tablets on Left Ventricular Mass Index in Male and Female Adult Participants With Fabry Disease); NCT04020055 (A Study to Evaluate Migalastat in Fabry Subjects With Amenable GLA Variant and Renal Disease) (and 4 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
14,578,Mucolipidosis type IV,8.6,3.0,10.0,10.0,10.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene MCOLN1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 2 ongoing trial(s): NCT05150704 (MYTHS - MYocarditis THerapy With Steroids); NCT05947851 (A Study of Nemtabrutinib Plus Venetoclax vs Venetoclax + Rituximab (VR) in Second-line (2L) + Relapsed/Refractory (R/R) Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL) (MK-1026-010/BELLWAVE-010).); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
15,2209,Maternal phenylketonuria,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene PAH, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
16,79433,Oculocutaneous albinism type 3,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene TYRP1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
17,35122,Congenital sucrase-isomaltase deficiency,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene SI, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
18,816,Sjögren-Larsson syndrome,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene ALDH3A2, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
19,709,Peters plus syndrome,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene B3GLCT, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 6 ongoing trial(s): NCT05929066 (A Study of Retatrutide (LY3437943) in Participants Who Have Obesity or Overweight); NCT05929079 (A Study of Retatrutide (LY3437943) in Participants With Type 2 Diabetes Mellitus Who Have Obesity or Overweight) (and 4 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
20,333,Farber disease,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene ASAH1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 100 ongoing trial(s): NCT01804686 (A Long-term Extension Study of PCI-32765 (Ibrutinib)); NCT04245839 (A Study to Evaluate the Efficacy and Safety of JCAR017 in Adult Subjects With Relapsed or Refractory Indolent B-cell Non-Hodgkin Lymphoma (NHL)) (and 98 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
21,139,CHILD syndrome,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene NSDHL, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 82 ongoing trial(s): NCT06362486 (Stress in Pregnancy During the Covid19 Pandemic and Impact on the Newborn Neurodevelopment); NCT06392386 (A Study of Efgartigimod PH20 SC in Children Between 2 and Less Than 18 Years of Age with Generalized Myasthenia Gravis) (and 80 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
22,251383,CK syndrome,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene NSDHL, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 4 ongoing trial(s): NCT02938520 (Study to Evaluate the Efficacy, Safety, and Tolerability of Long-acting Intramuscular Cabotegravir and Rilpivirine for Maintenance of Virologic Suppression Following Switch From an Integrase Inhibitor in HIV-1 Infected Therapy Naive Participants); NCT05027984 (Interventional Strategy for Non-culprit Lesions With Major Vulnerability Criteria at OCT in Patients With ACS) (and 2 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
23,443197,X-linked erythropoietic protoporphyria,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene ALAS2, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 2 ongoing trial(s): NCT06144840 (INcreased Sun Exposure Without Pain In Research Participants With EPP or XLP); NCT05005975 (Extension Study to Evaluate Safety and Tolerability of Oral Dersimelagon (MT-7117) in Subjects With Erythropoietic Protoporphyria (EPP) or X-Linked Protoporphyria (XLP)); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
24,272,"Congenital muscular dystrophy, Fukuyama type",8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene FKTN, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
25,926,Acatalasemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene CAT, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
26,2195,Dicarboxylic aminoaciduria,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SLC1A1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
27,42062,Iminoglycinuria,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SLC36A2, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
28,212,Cystathioninuria,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene CTH, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
29,2157,Histidinemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene HAL, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
30,3129,Sarcosinemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SARDH, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
31,25,Glutaryl-CoA dehydrogenase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene GCDH, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
32,289504,Combined malonic and methylmalonic acidemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACSF3, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
33,79435,Oculocutaneous albinism type 4,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SLC45A2, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
34,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene AGL, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
35,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene PYGL, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
36,469,Hereditary fructose intolerance,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ALDOB, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
37,53693,GRACILE syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene BCS1L, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
38,480,Kearns-Sayre syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene RRM2B, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
39,644,NARP syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene MT-ATP6, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
